Station ID,Name,Latitude,Longitude,Capacity,Bikes Available,Docks Available,Is Renting,Is Returning,Last Reported,Timestamp
08255063-1f3f-11e7-bf6b-3863bb334450,17th St & Massachusetts Ave NW,38.908568,-77.038542,19,0,18,1,1,2024-11-27 18:18:55,2024-11-27 18:20:59
08260472-1f3f-11e7-bf6b-3863bb334450,Columbia Pike & S Highland St,38.862398,-77.089133,12,9,2,1,1,2024-11-27 18:19:03,2024-11-27 18:20:59
08259c89-1f3f-11e7-bf6b-3863bb334450,47th & Elm St,38.982456,-77.091991,15,4,11,1,1,2024-11-27 18:19:01,2024-11-27 18:20:59
082644bc-1f3f-11e7-bf6b-3863bb334450,6th & K St NE,38.90293157359119,-76.99840486049652,19,5,13,1,1,2024-11-27 18:19:03,2024-11-27 18:20:59
0824eba7-1f3f-11e7-bf6b-3863bb334450,Clarendon Blvd & Pierce St,38.893438,-77.076389,15,8,6,1,1,2024-11-27 18:19:03,2024-11-27 18:20:59
a07bd5e0-5136-4285-ae23-54a74124957e,Montello Ave & Holbrook Terr NE,38.907444,-76.986813,19,4,15,1,1,2024-11-27 18:19:03,2024-11-27 18:20:59
08253c6b-1f3f-11e7-bf6b-3863bb334450,Braddock Rd Metro North,38.814577,-77.052808,29,8,21,1,1,2024-11-27 18:19:04,2024-11-27 18:20:59
082480f1-1f3f-11e7-bf6b-3863bb334450,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877,11,0,10,1,1,2024-11-27 18:19:04,2024-11-27 18:20:59
082605b0-1f3f-11e7-bf6b-3863bb334450,Georgia & Missouri Ave NW,38.961339,-77.027855,19,14,5,1,1,2024-11-27 18:19:07,2024-11-27 18:20:59
3af8c81c-b8d8-4af7-afe9-332a2cac4672,Commonwealth and Reed,38.8368376462948,-77.05727398395538,16,7,9,1,1,2024-11-27 18:19:07,2024-11-27 18:20:59
08254442-1f3f-11e7-bf6b-3863bb334450,5th St & Massachusetts Ave NW,38.90093,-77.018677,19,0,18,1,1,2024-11-27 18:19:06,2024-11-27 18:20:59
08251448-1f3f-11e7-bf6b-3863bb334450,3rd & G St SE,38.881185,-77.001828,19,8,9,1,1,2024-11-27 18:19:13,2024-11-27 18:20:59
21cdfe0d-71ad-4302-a003-3cfc0d355af9,4th & Florida Ave NE,38.90731645057457,-77.00069814920425,19,11,6,1,1,2024-11-27 18:19:13,2024-11-27 18:20:59
8d8a3add-40b4-41ba-bffe-5a754ebc1625,Mt Vernon Trail & S. Washington St.,38.7930647,-77.049436,15,0,14,1,1,2024-11-27 18:19:12,2024-11-27 18:20:59
0825be94-1f3f-11e7-bf6b-3863bb334450,31st St & S Woodrow St,38.8378458,-77.0934784,11,5,6,1,1,2024-11-27 18:19:12,2024-11-27 18:20:59
0825ff8d-1f3f-11e7-bf6b-3863bb334450,Langston Blvd & N Kirkwood Rd,38.895377,-77.09713,15,13,2,1,1,2024-11-27 18:19:09,2024-11-27 18:20:59
3d8b6392-9572-4c65-b71c-fd8f03af9ab2,Emma Lee St & Morris St,38.877818,-77.209421,12,7,4,1,1,2024-11-27 18:19:09,2024-11-27 18:20:59
08253b95-1f3f-11e7-bf6b-3863bb334450,Commerce St & Fayette St,38.80563,-77.052925,15,9,6,1,1,2024-11-27 18:19:10,2024-11-27 18:20:59
d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,Livingston Rd & 3rd St SE,38.82373,-77.00223,15,5,9,1,1,2024-11-27 18:19:09,2024-11-27 18:20:59
68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,Broad Branch Rd & Northampton St NW,38.96577499342219,-77.06862643361092,19,19,0,1,1,2024-11-27 18:19:09,2024-11-27 18:20:59
0825faf6-1f3f-11e7-bf6b-3863bb334450,WAU / Flower Ave & Division St,38.986743,-77.000035,15,13,2,1,1,2024-11-27 18:19:14,2024-11-27 18:20:59
08252530-1f3f-11e7-bf6b-3863bb334450,Langston Blvd & N Adams St,38.89593,-77.089006,15,7,8,1,1,2024-11-27 18:19:16,2024-11-27 18:20:59
082623bf-1f3f-11e7-bf6b-3863bb334450,17th St & Independence Ave SW,38.888097,-77.038325,19,1,18,1,1,2024-11-27 18:19:15,2024-11-27 18:20:59
0825be05-1f3f-11e7-bf6b-3863bb334450,North Capitol St & G Pl NE,38.899703,-77.008911,19,16,2,1,1,2024-11-27 18:19:21,2024-11-27 18:20:59
08254943-1f3f-11e7-bf6b-3863bb334450,14th & Upshur St NW,38.942475355602845,-77.03267812728882,19,13,3,1,1,2024-11-27 18:19:21,2024-11-27 18:20:59
066fd95e-0d37-4eea-a027-88c04277bb9d,7th & Monroe St NE,38.932242581555066,-76.9961330294609,15,0,14,1,1,2024-11-27 18:19:17,2024-11-27 18:20:59
42ad2bc8-22b5-40f2-8a56-e562e4ecde07,Oglethorpe St & 42nd Ave,38.959361,-76.946361,15,9,6,1,1,2024-11-27 18:19:17,2024-11-27 18:20:59
08254dee-1f3f-11e7-bf6b-3863bb334450,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,15,10,4,1,1,2024-11-27 18:19:18,2024-11-27 18:20:59
08252b28-1f3f-11e7-bf6b-3863bb334450,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,19,2,17,1,1,2024-11-27 18:19:18,2024-11-27 18:20:59
08265124-1f3f-11e7-bf6b-3863bb334450,Wheaton Metro / Georgia Ave & Reedie Dr,39.038423828518326,-77.05102041363716,19,1,16,1,1,2024-11-27 18:19:18,2024-11-27 18:20:59
1917259666206632502,Franconia-Springfield Metro North,38.766946,-77.168902,19,4,15,1,1,2024-11-27 18:19:18,2024-11-27 18:20:59
0826402c-1f3f-11e7-bf6b-3863bb334450,N Lynn St & Fairfax Dr,38.89386,-77.070862,15,6,9,1,1,2024-11-27 18:19:19,2024-11-27 18:20:59
bed9b757-0df2-4a97-a6ac-415db00e82c8,Kingman Island/The Fields at RFK,38.89595455700754,-76.9678448436025,19,11,8,1,1,2024-11-27 18:19:38,2024-11-27 18:20:59
a77b8993-6d68-425e-a37a-0e613a7cb17a,Merrilee Dr & Lauren Elizabeth Lane,38.87857249314831,-77.23076596856116,11,7,3,1,1,2024-11-27 18:19:38,2024-11-27 18:20:59
0825213e-1f3f-11e7-bf6b-3863bb334450,Central Library / Quincy St & 10th St N,38.88397,-77.10783,12,7,5,1,1,2024-11-27 18:19:39,2024-11-27 18:20:59
c0ec45a3-ec59-4c82-9671-13d9c122be30,North Village and Park Garden,38.983199,-77.341823,12,7,5,1,1,2024-11-27 18:19:40,2024-11-27 18:20:59
0824c772-1f3f-11e7-bf6b-3863bb334450,7th & F St NW / National Portrait Gallery,38.897123,-77.023934,35,11,24,1,1,2024-11-27 18:19:34,2024-11-27 18:20:59
08256ac9-1f3f-11e7-bf6b-3863bb334450,8th & D St NW,38.894851,-77.02324,15,6,8,1,1,2024-11-27 18:19:41,2024-11-27 18:20:59
